Units,Dollars,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
528,564,Guardians of the Galaxy,9,$3.99,09/18/19,Marvel,"39,076"
530,662,Tony Stark Iron Man,12,$3.99,06/05/19,Marvel,"39,032"
531,378,Spider-Man Life Story,6,$4.99,08/28/19,Marvel,"38,988"
532,565,Star Wars,65,$3.99,05/01/19,Marvel,"38,981"
533,395,Invaders,1,$4.99,01/16/19,Marvel,"38,977"
534,1231,Amazing Mary Jane,3,$3.99,12/11/19,Marvel,"38,956"
536,570,Fallen Angels,3,$3.99,12/11/19,Marvel,"38,883"
537,537,Star Wars,74,$3.99,11/13/19,Marvel,"38,826"
538,581,Miles Morales Spider-Man,3,$3.99,02/20/19,Marvel,"38,811"
539,432,Web of Black Widow,1,$3.99,09/04/19,Marvel,"38,796"
541,387,Hulkverines,1,$4.99,02/20/19,Marvel,"38,719"
542,383,Absolute Carnage Avengers,1,$4.99,10/16/19,Marvel,"38,670"
545,390,Miles Morales Spider-Man,10,$4.99,09/11/19,Marvel,"38,531"
546,576,Domino Hotshots,1,$3.99,03/06/19,Marvel,"38,355"
549,557,Star Wars,73,$3.99,10/23/19,Marvel,"38,265"
550,462,Guardians of the Galaxy,12,$4.99,12/18/19,Marvel,"38,253"
553,578,Spider-Man & Venom Double Trouble,1,$3.99,11/06/19,Marvel,"38,212"
554,577,Captain America,9,$3.99,04/03/19,Marvel,"38,196"
556,580,Superior Spider-Man,2,$3.99,01/23/19,Marvel,"38,106"
557,584,Guardians of the Galaxy,10,$3.99,10/16/19,Marvel,"37,967"
558,498,New Mutants,98 Facs. Ed.,$3.99,07/03/19,Marvel,"37,936"
560,583,Captain America,13,$3.99,08/28/19,Marvel,"37,898"
562,585,Star Wars,63,$3.99,03/20/19,Marvel,"37,717"
564,589,Star Wars,70,$3.99,08/07/19,Marvel,"37,630"
565,590,Star Wars Vader Dark Visions,2,$3.99,03/27/19,Marvel,"37,625"
566,597,Star Wars Target Vader,1,$3.99,07/03/19,Marvel,"37,515"
567,598,Captain America,11,$3.99,06/19/19,Marvel,"37,477"
567,615,Avengers No Road Home,3,$3.99,02/27/19,Marvel,"37,416"
569,602,King Thor,3,$3.99,11/20/19,Marvel,"37,406"
570,523,Captain Marvel,11,$3.99,10/16/19,Marvel,"37,399"
571,600,Star Wars Age of Rebellion Han Solo,1,$3.99,05/01/19,Marvel,"37,363"
572,601,Daredevil,8,$3.99,07/17/19,Marvel,"37,359"
573,606,Fallen Angels,4,$3.99,12/18/19,Marvel,"37,350"
574,559,Tony Stark Iron Man,13,$3.99,06/19/19,Marvel,"37,261"
576,608,Star Wars,71,$3.99,09/04/19,Marvel,"37,118"
578,549,Miles Morales Spider-Man,11,$3.99,10/09/19,Marvel,"37,079"
582,614,Captain America,10,$3.99,05/08/19,Marvel,"36,948"
585,622,Fantastic Four,16,$3.99,11/06/19,Marvel,"36,779"
586,624,Miles Morales Spider-Man,6,$3.99,05/22/19,Marvel,"36,685"
587,625,Captain America,15,$3.99,10/16/19,Marvel,"36,661"
588,632,Captain Marvel,13,$3.99,12/11/19,Marvel,"36,600"
589,623,Conan The Barbarian,8,$3.99,07/31/19,Marvel,"36,564"
590,626,Fantastic Four,17,$3.99,12/11/19,Marvel,"36,564"
592,627,Star Wars Age of Republic Obi-Wan Kenobi,1,$3.99,01/02/19,Marvel,"36,549"
593,639,Star Wars Age of Rebellion Luke Skywalker,1,$3.99,06/05/19,Marvel,"36,514"
597,642,Avengers No Road Home,4,$3.99,03/06/19,Marvel,"36,433"
598,629,Conan The Barbarian,5,$3.99,04/03/19,Marvel,"36,391"
603,532,X-Men,1 Facs. Ed.,$3.99,07/10/19,Marvel,"36,221"
605,638,Daredevil,7,$3.99,06/19/19,Marvel,"36,159"
606,435,Deadpool,15,$4.99,07/17/19,Marvel,"36,054"
609,312,Doctor Strange,10,$5.99,01/30/19,Marvel,"35,888"
611,650,Avengers No Road Home,5,$3.99,03/13/19,Marvel,"35,862"
612,648,Daredevil,4,$3.99,04/17/19,Marvel,"35,746"
613,661,Friendly Neighborhood Spider-Man,6,$3.99,05/08/19,Marvel,"35,724"
614,645,Star Wars,69,$3.99,07/24/19,Marvel,"35,705"
616,676,Age of Conan Belit,1,$3.99,03/13/19,Marvel,"35,690"
619,111,Amazing Spider-Man Full Circle,1,$9.99,10/23/19,Marvel,"35,616"
620,651,Infinity Wars Infinity,1,$3.99,01/02/19,Marvel,"35,599"
623,653,Daredevil,11,$3.99,09/11/19,Marvel,"35,540"
625,505,Immortal Hulk,2,$3.99,02/13/19,Marvel,"35,442"
627,655,Thanos,3,$3.99,06/26/19,Marvel,"35,372"
629,665,Daredevil,9,$3.99,08/07/19,Marvel,"35,322"
630,660,Star Wars Vader Dark Visions,3,$3.99,04/24/19,Marvel,"35,302"
634,675,Conan The Barbarian,7,$3.99,06/26/19,Marvel,"35,039"
635,668,Absolute Carnage Scream,3,$3.99,10/16/19,Marvel,"35,006"
636,677,Daredevil,10,$3.99,08/21/19,Marvel,"34,910"
637,674,Wolverine Infinity Watch,2,$3.99,03/20/19,Marvel,"34,891"
638,470,New Mutants War Children,1,$4.99,09/25/19,Marvel,"34,875"
641,679,Savage Avengers,7,$3.99,11/06/19,Marvel,"34,808"
642,686,Star Wars Age of Rebellion Princess Leia,1,$3.99,04/10/19,Marvel,"34,780"
644,555,Incredible Hulk,1 Facs. Ed.,$3.99,10/23/19,Marvel,"34,701"
645,684,Captain America,14,$3.99,09/25/19,Marvel,"34,694"
646,681,Absolute Carnage Lethal Protectors,2,$3.99,09/18/19,Marvel,"34,660"
648,690,Daredevil,5,$3.99,05/15/19,Marvel,"34,598"
649,579,Black Widow,1,$3.99,01/16/19,Marvel,"34,471"
651,700,Major X,2,$3.99,04/17/19,Marvel,"34,467"
652,693,Cosmic Ghost Rider Destroys Marvel History,2,$3.99,04/03/19,Marvel,"34,380"
653,479,Absolute Carnage Weapon Plus,1,$4.99,11/06/19,Marvel,"34,369"
656,711,Avengers No Road Home,7,$3.99,03/27/19,Marvel,"34,329"
658,695,Star Wars,72,$3.99,10/02/19,Marvel,"34,259"
659,588,Deadpool,10,$3.99,03/06/19,Marvel,"34,252"
661,1525,Strikeforce,2,$3.99,10/23/19,Marvel,"34,212"
664,696,Tony Stark Iron Man,8,$3.99,02/06/19,Marvel,"34,129"
665,703,Guardians of the Galaxy,11,$3.99,11/13/19,Marvel,"34,128"
667,707,War of Realms Journey Into Mystery,1,$3.99,04/10/19,Marvel,"34,088"
668,705,Tony Stark Iron Man,9,$3.99,03/13/19,Marvel,"34,084"
670,1534,Invaders,3,$3.99,03/27/19,Marvel,"33,935"
672,709,Daredevil,12,$3.99,10/02/19,Marvel,"33,851"
674,725,Avengers No Road Home,9,$3.99,04/10/19,Marvel,"33,843"
675,704,Thanos,4,$3.99,07/31/19,Marvel,"33,829"
676,490,Avengers No Road Home,10,$4.99,04/17/19,Marvel,"33,826"
677,708,Star Wars Vader Dark Visions,4,$3.99,05/29/19,Marvel,"33,771"
678,487,Marvel Comics Presents,6,$4.99,06/26/19,Marvel,"33,759"
679,714,Tony Stark Iron Man,7,$3.99,01/02/19,Marvel,"33,693"
681,495,Savage Avengers Annual,1,$4.99,10/30/19,Marvel,"33,607"
682,736,Captain Marvel,3,$3.99,03/20/19,Marvel,"33,507"
683,716,Deadpool,11,$3.99,04/03/19,Marvel,"33,414"
684,717,Deadpool,14,$3.99,06/19/19,Marvel,"33,375"
685,726,Star Wars Age of Rebellion Jabba The Hutt,1,$3.99,05/22/19,Marvel,"33,311"
686,722,X-Force,2,$3.99,01/30/19,Marvel,"33,285"
687,728,Man Without Fear,1,$3.99,01/02/19,Marvel,"33,242"
689,838,Old Man Quill,1,$3.99,02/06/19,Marvel,"33,191"
690,751,Avengers No Road Home,8,$3.99,04/03/19,Marvel,"33,156"
693,512,Absolute Carnage Captain Marvel,1,$4.99,11/20/19,Marvel,"32,936"
695,735,Savage Sword of Conan,2,$3.99,02/27/19,Marvel,"32,897"
696,740,War of Realms Uncanny X-Men,1,$3.99,04/24/19,Marvel,"32,880"
700,659,Star Wars Age of Republic Count Dooku,1,$3.99,02/13/19,Marvel,"32,688"
701,745,Friendly Neighborhood Spider-Man,2,$3.99,01/23/19,Marvel,"32,640"
702,749,Daredevil,6,$3.99,05/29/19,Marvel,"32,638"
704,766,Captain Marvel,6,$3.99,06/05/19,Marvel,"32,592"
705,785,Age of X-Man Amazing Nightcrawler,1,$3.99,02/20/19,Marvel,"32,550"
706,787,Age of X-Man Nextgen,1,$3.99,02/13/19,Marvel,"32,522"
707,757,Miles Morales Spider-Man,4,$3.99,03/20/19,Marvel,"32,484"
708,753,Star Wars Vader Dark Visions,5,$3.99,06/12/19,Marvel,"32,460"
709,756,Conan The Barbarian,6,$3.99,05/08/19,Marvel,"32,368"
710,748,Deadpool,8,$3.99,01/02/19,Marvel,"32,334"
711,764,Savage Avengers,8,$3.99,12/04/19,Marvel,"32,298"
712,768,Punisher Soviet,1,$3.99,11/13/19,Marvel,"32,262"
713,1174,Morbius,2,$3.99,12/11/19,Marvel,"32,259"
718,769,Miles Morales Spider-Man,9,$3.99,08/14/19,Marvel,"32,161"
718,773,Daredevil,13,$3.99,11/06/19,Marvel,"32,116"
721,1594,Agents of Atlas,2,$3.99,09/04/19,Marvel,"32,072"
722,771,Ghost Rider,2,$3.99,11/06/19,Marvel,"32,052"
725,782,Major X,3,$3.99,05/01/19,Marvel,"31,974"
726,775,Dead Man Logan,3,$3.99,01/30/19,Marvel,"31,946"
727,538,Wolverine and Captain America Weapon Plus,1,$4.99,07/10/19,Marvel,"31,939"
729,784,Star Wars Tie Fighter,1,$3.99,04/17/19,Marvel,"31,827"
730,541,Star Wars Age of Republic Special,1,$4.99,01/16/19,Marvel,"31,814"
733,780,Absolute Carnage Lethal Protectors,3,$3.99,10/23/19,Marvel,"31,774"
736,548,Star Wars Rise Kylo Ren,1,$4.99,12/18/19,Marvel,"31,733"
738,788,Daredevil,14,$3.99,12/04/19,Marvel,"31,701"
741,821,Age of X-Man X-Tremists,1,$3.99,02/27/19,Marvel,"31,659"
742,552,Giant Sized X-Men,1 Facs. Ed.,$4.99,07/17/19,Marvel,"31,609"
745,794,Captain America,16,$3.99,11/20/19,Marvel,"31,557"
746,799,Champions,1,$3.99,01/02/19,Marvel,"31,513"
746,408,Star Wars Empire Ascendant,1,$5.99,12/18/19,Marvel,"31,484"
748,797,Superior Spider-Man,3,$3.99,02/27/19,Marvel,"31,431"
749,792,Conan The Barbarian Exodus,1,$3.99,08/14/19,Marvel,"31,425"
752,789,Deadpool,9,$3.99,02/06/19,Marvel,"31,347"
753,569,Major X,0,$4.99,08/07/19,Marvel,"31,113"
754,804,Friendly Neighborhood Spider-Man,9,$3.99,07/31/19,Marvel,"31,099"
758,805,Cosmic Ghost Rider Destroys Marvel History,3,$3.99,05/01/19,Marvel,"31,033"
760,809,Symbiote Spider-Man,5,$3.99,08/14/19,Marvel,"30,834"
761,765,Black Cat,7,$3.99,12/04/19,Marvel,"30,795"
763,815,Miles Morales Spider-Man,5,$3.99,04/17/19,Marvel,"30,727"
764,813,Star Wars Target Vader,2,$3.99,08/14/19,Marvel,"30,677"
765,816,Dead Man Logan,4,$3.99,02/13/19,Marvel,"30,651"
766,817,Star Wars Age of Republic Anakin Skywalker,1,$3.99,02/06/19,Marvel,"30,614"
767,822,Tony Stark Iron Man,14,$3.99,07/24/19,Marvel,"30,560"
769,830,Tony Stark Iron Man,15,$3.99,08/21/19,Marvel,"30,525"
770,823,Star Wars Age of Republic General Grievous,1,$3.99,03/13/19,Marvel,"30,502"
771,832,Friendly Neighborhood Spider-Man,4,$3.99,03/20/19,Marvel,"30,485"
777,841,Star Wars Galaxys Edge,2,$3.99,05/22/19,Marvel,"30,337"
778,835,Daredevil,15,$3.99,12/18/19,Marvel,"30,322"
781,854,Captain Marvel,4,$3.99,04/10/19,Marvel,"30,225"
783,893,Star Wars Age of Republic Padme Amidala,1,$3.99,03/06/19,Marvel,"30,141"
785,846,Major X,5,$3.99,06/12/19,Marvel,"30,069"
786,845,Captain America,17,$3.99,12/11/19,Marvel,"30,039"
788,594,Star Wars Age Rebellion Special,1,$4.99,04/17/19,Marvel,"30,012"
789,848,Tony Stark Iron Man,10,$3.99,04/17/19,Marvel,"29,970"
791,851,Major X,4,$3.99,05/29/19,Marvel,"29,928"
793,604,History of Marvel Universe,3,$4.99,09/18/19,Marvel,"29,849"
795,856,Captain Marvel,10,$3.99,09/11/19,Marvel,"29,765"
798,855,Superior Spider-Man,4,$3.99,03/27/19,Marvel,"29,628"
800,862,Friendly Neighborhood Spider-Man,12,$3.99,09/18/19,Marvel,"29,601"
802,863,Star Wars Age of Resistance Finn,1,$3.99,07/03/19,Marvel,"29,559"
804,865,Miles Morales Spider-Man,13,$3.99,12/11/19,Marvel,"29,500"
805,610,Web of Venom Unleashed,1,$4.99,01/09/19,Marvel,"29,451"
806,1449,Marvel Comics Presents,3,$4.99,03/27/19,Marvel,"29,441"
807,1533,Deaths Head,1,$3.99,07/31/19,Marvel,"29,422"
808,628,Black Cat Annual,1,$4.99,11/13/19,Marvel,"29,392"
809,867,Savage Sword of Conan,3,$3.99,03/20/19,Marvel,"29,330"
810,619,Wolverine Annual,1,$4.99,09/25/19,Marvel,"29,322"
811,870,Doctor Strange,20,$3.99,10/02/19,Marvel,"29,319"
812,587,Amazing Spider-Man Going Big,1,$4.99,09/04/19,Marvel,"29,308"
813,885,Magnificent Ms. Marvel,1,$3.99,03/13/19,Marvel,"29,297"
815,874,Miles Morales Spider-Man,8,$3.99,07/10/19,Marvel,"29,241"
816,879,Star Wars Age of Rebellion Lando Calrissian,1,$3.99,05/15/19,Marvel,"29,240"
817,810,Black Cat,4,$3.99,09/11/19,Marvel,"29,183"
818,876,War of Realms Punisher,1,$3.99,04/17/19,Marvel,"29,178"
824,884,Amazing Spider-Man,252 Facs. Ed.,$3.99,04/17/19,Marvel,"29,069"
825,887,Age of X-Man Prisoner X,1,$3.99,03/06/19,Marvel,"28,999"
826,878,Thanos,5,$3.99,08/28/19,Marvel,"28,991"
829,641,Fearless,1,$4.99,07/24/19,Marvel,"28,760"
830,1746,Invaders,7,$3.99,07/17/19,Marvel,"28,729"
831,896,Miles Morales Spider-Man,7,$3.99,06/19/19,Marvel,"28,679"
832,891,Dead Man Logan,5,$3.99,03/13/19,Marvel,"28,672"
833,914,Age of X-Man Apocalypse and X-Tracts,1,$3.99,03/13/19,Marvel,"28,666"
834,899,Miles Morales Spider-Man,12,$3.99,11/06/19,Marvel,"28,652"
835,1424,Invisible Woman,3,$3.99,09/11/19,Marvel,"28,549"
836,902,Man Without Fear,2,$3.99,01/09/19,Marvel,"28,549"
839,654,History of Marvel Universe,4,$4.99,10/16/19,Marvel,"28,487"
840,908,Tony Stark Iron Man,11,$3.99,05/22/19,Marvel,"28,469"
841,847,Black Cat,6,$3.99,11/06/19,Marvel,"28,453"
842,921,Star Wars Galaxys Edge,3,$3.99,06/26/19,Marvel,"28,446"
843,909,Friendly Neighborhood Spider-Man,8,$3.99,06/26/19,Marvel,"28,421"
845,912,Major X,6,$3.99,06/26/19,Marvel,"28,411"
846,649,Hulkverines,2,$4.99,03/27/19,Marvel,"28,402"
850,663,Marvel Knights 20th,6,$4.99,01/30/19,Marvel,"28,271"
851,913,Friendly Neighborhood Spider-Man,3,$3.99,02/20/19,Marvel,"28,267"
852,560,Aero,3,$3.99,09/18/19,Marvel,"28,266"
853,656,Thor Worthy,1,$4.99,12/04/19,Marvel,"28,256"
854,2836,True Believers Absolute Carnage Carnage,1,$1.00,07/10/19,Marvel,"28,245"
859,920,Doctor Strange,17,$3.99,08/14/19,Marvel,"28,119"
859,922,Star Wars Age of Rebellion Grand Moff Tarkin,1,$3.99,04/10/19,Marvel,"28,091"
862,666,Ghost Rider 2099,1,$4.99,12/04/19,Marvel,"28,042"
867,673,Fantastic Four Prodigal Sun,1,$4.99,07/03/19,Marvel,"27,934"
868,925,Cosmic Ghost Rider Destroys Marvel History,4,$3.99,06/05/19,Marvel,"27,920"
869,930,Friendly Neighborhood Spider-Man,11,$3.99,08/28/19,Marvel,"27,877"
870,670,Uncanny X-Men Winters End,1,$4.99,03/13/19,Marvel,"27,869"
870,928,Wolverine Infinity Watch,3,$3.99,04/17/19,Marvel,"27,840"
873,926,Spider-Gwen Ghost Spider,4,$3.99,01/09/19,Marvel,"27,827"
876,931,Punisher,11,$3.99,05/01/19,Marvel,"27,746"
878,933,Dead Man Logan,6,$3.99,04/10/19,Marvel,"27,690"
881,1588,Black Panther and Agents of Wakanda,2,$3.99,10/16/19,Marvel,"27,628"
882,935,Conan The Barbarian,9,$3.99,09/04/19,Marvel,"27,589"
883,938,Spider-Verse,2,$3.99,11/20/19,Marvel,"27,549"
883,939,Doctor Strange,14,$3.99,05/22/19,Marvel,"27,537"
885,941,Marvel Knights 20th,5,$3.99,01/02/19,Marvel,"27,514"
886,942,Savage Sword of Conan,4,$3.99,04/10/19,Marvel,"27,453"
887,514,X-Men Grand Design X-Tinction,1,$5.99,05/29/19,Marvel,"27,433"
889,949,Star Wars Age of Resistance Captain Phasma,1,$3.99,07/10/19,Marvel,"27,361"
890,948,Star Wars Age of Resistance Poe Dameron,1,$3.99,08/28/19,Marvel,"27,361"
891,947,Dead Man Logan,7,$3.99,05/01/19,Marvel,"27,350"
892,699,Doom 2099,1,$4.99,12/11/19,Marvel,"27,294"
893,958,Doctor Strange,18,$3.99,08/28/19,Marvel,"27,265"
894,961,Superior Spider-Man,5,$3.99,04/24/19,Marvel,"27,261"
895,954,Man Without Fear,3,$3.99,01/16/19,Marvel,"27,248"
896,952,Contagion,1,$3.99,10/02/19,Marvel,"27,236"
897,959,Man Without Fear,5,$3.99,01/30/19,Marvel,"27,215"
898,293,Amazing Spider-Man Venom 3D,1 Bag,$7.99,08/28/19,Marvel,"27,205"
902,966,Man Without Fear,4,$3.99,01/23/19,Marvel,"27,087"
904,967,Doctor Strange,12,$3.99,03/27/19,Marvel,"27,050"
906,706,Deadpool Annual,1,$4.99,08/21/19,Marvel,"27,000"
910,978,Friendly Neighborhood Spider-Man,5,$3.99,04/10/19,Marvel,"26,825"
911,960,Martian Manhunter,2,$3.99,01/09/19,DC,"26,799"
912,979,X-Force,3,$3.99,02/27/19,Marvel,"26,795"
913,719,Fantastic Four 2099,1,$4.99,11/20/19,Marvel,"26,768"
913,872,Star Wars Age of Resistance Special,1,$4.99,07/31/19,Marvel,"26,763"
916,981,Star Wars Age of Resistance Kylo Ren,1,$3.99,09/25/19,Marvel,"26,745"
920,983,Doctor Strange,13,$3.99,04/24/19,Marvel,"26,719"
921,985,X-23,10,$3.99,03/13/19,Marvel,"26,717"
922,977,Deadpool,12,$3.99,05/01/19,Marvel,"26,704"
923,729,History of Marvel Universe,5,$4.99,11/13/19,Marvel,"26,679"
924,990,Friendly Neighborhood Spider-Man,10,$3.99,08/14/19,Marvel,"26,596"
925,723,Silver Surfer Prodigal Sun,1,$4.99,08/14/19,Marvel,"26,552"
929,733,Annihilation Scourge Silver Surfer,1,$4.99,12/11/19,Marvel,"26,481"
932,997,Tony Stark Iron Man,17,$3.99,10/23/19,Marvel,"26,465"
933,995,Dead Man Logan,8,$3.99,06/05/19,Marvel,"26,463"
935,996,Ghost-Spider,2,$3.99,09/25/19,Marvel,"26,445"
938,1521,Magnificent Ms. Marvel,2,$3.99,04/17/19,Marvel,"26,404"
943,742,2099 Omega,1,$4.99,12/18/19,Marvel,"26,336"
945,1002,Captain Marvel,5,$3.99,05/08/19,Marvel,"26,275"
946,1005,War of Realms Spider-Man & League of Realms,1,$3.99,05/15/19,Marvel,"26,260"
947,1003,Conan The Barbarian,10,$3.99,10/30/19,Marvel,"26,251"
948,936,Captain Marvel,7,$3.99,06/19/19,Marvel,"26,241"
949,1009,Ghost Rider,3,$3.99,12/11/19,Marvel,"26,240"
950,1007,X-Force,4,$3.99,03/13/19,Marvel,"26,233"
950,1019,Star Wars Galaxys Edge,4,$3.99,07/31/19,Marvel,"26,217"
953,1006,Star Wars Target Vader,3,$3.99,09/25/19,Marvel,"26,193"
957,1018,Spider-Gwen Ghost Spider,6,$3.99,03/13/19,Marvel,"26,103"
959,1012,Wolverine Infinity Watch,4,$3.99,05/22/19,Marvel,"26,078"
960,1016,Savage Sword of Conan,5,$3.99,05/08/19,Marvel,"26,070"
962,1022,X-23,8,$3.99,01/09/19,Marvel,"25,938"
963,1024,Ghost-Spider,3,$3.99,10/23/19,Marvel,"25,920"
964,755,Punisher 2099,1,$4.99,11/27/19,Marvel,"25,908"
965,929,Captain Marvel Braver & Mightier,1,$3.99,02/27/19,Marvel,"25,900"
966,1025,X-23,9,$3.99,02/06/19,Marvel,"25,840"
967,1029,Doctor Strange,16,$3.99,07/24/19,Marvel,"25,823"
968,1032,Doctor Doom,3,$3.99,12/04/19,Marvel,"25,816"
969,760,Hulkverines,3,$4.99,04/24/19,Marvel,"25,811"
970,1030,Conan The Barbarian,11,$3.99,11/20/19,Marvel,"25,761"
971,1028,Spider-Gwen Ghost Spider,10,$3.99,07/03/19,Marvel,"25,761"
974,1036,Invisible Woman,2,$3.99,08/07/19,Marvel,"25,673"
975,1450,Yondu,1,$3.99,11/06/19,Marvel,"25,664"
976,1034,Dead Man Logan,9,$3.99,07/03/19,Marvel,"25,661"
977,1038,Journey Star Wars Rise Skywalker Allegiance,2,$3.99,10/16/19,Marvel,"25,659"
978,778,Annihilation Scourge Omega,1,$4.99,12/18/19,Marvel,"25,654"
979,1033,Punisher,15,$3.99,09/04/19,Marvel,"25,647"
981,776,War of Realms War Scrolls,1,$4.99,04/17/19,Marvel,"25,613"
983,777,War of Realms Strikeforce War Avengers,1,$4.99,05/15/19,Marvel,"25,591"
987,1051,Savage Sword of Conan,6,$3.99,06/19/19,Marvel,"25,411"
988,1047,X-Force,5,$3.99,03/27/19,Marvel,"25,320"
989,1049,Dead Man Logan,10,$3.99,08/07/19,Marvel,"25,271"
991,1052,Dead Man Logan,12,$3.99,10/30/19,Marvel,"25,239"
992,1055,Tony Stark Iron Man,19,$3.99,12/18/19,Marvel,"25,211"
993,592,Fantastic Four Grand Design,1,$5.99,10/30/19,Marvel,"25,185"
997,1054,Cosmic Ghost Rider Destroys Marvel History,5,$3.99,07/03/19,Marvel,"25,142"
999,1570,Spider-Man Velocity,2,$3.99,09/25/19,Marvel,"25,123"
